=== Преподаватели по кафедрам ===
Преподаватель            Кафедра                  Публикации     
-----------------------------------------------------------------
Алексеев Р.К.            Кафедра экономики        12             
Васильева Л.Н.           Кафедра экономики        10             
Егоров В.М.              Кафедра физики           13             
Кузнецова А.В.           Кафедра математики       18             
Морозов Д.Н.             Кафедра математики       9              
Николаева М.С.           Кафедра экономики        8              
Орлова Т.В.              Кафедра физики           17             
Петров П.П.              Кафедра информатики      22             
Сидоров С.С.             Кафедра информатики      11             
Смирнов А.А.             Кафедра физики           25             
Федорова Е.П.            Кафедра математики       14             
